class_id,name,description
เห็ดเผาะ,0,(Astraeus odoratus / Astraeus hygrometricus)"เป็นเห็ดไม่มีก้านดอก มีลักษณะเป็นรูปกลมเมื่ออ่อน และเมื่อแก่เปลือกนอกจะแตกออกเป็นแฉกๆ มีทั้งชนิด ""เห็ดเผาะหนัง"" ที่มีผิวเรียบและแข็ง และ ""เห็ดเผาะฝ้าย"" ที่มีผิวนุ่มกว่า เมื่อผ่าดูจะพบเนื้อในที่ตอนแรกเป็นสีขาว เมื่อแก่ขึ้นจะเปลี่ยนเป็นสีน้ำตาลถึงดำ และเมื่อเห็ดสุกเต็มที่ภายในจะมีสปอร์สีน้ำตาลแดงเป็นผง"พบในธรรมชาติ ใช้ประกอบอาหาร ปลอดภัย
เห็ดโคน,1,(Termitomyces spp.) เป็นเห็ดป่าที่พบเติบโตบริเวณจอมปลวก มีรูปร่างคล้ายเห็ดทั่วไป แต่มีลักษณะเด่นคือ หมวกดอกมีปุ่มหรือยอดแหลมที่กลางหมวก (ยกเว้นเห็ดโคนข้าวตอก) เนื้อเห็ดแน่น สีขาว และ มีรากเทียม (หรือฐานดอก) ที่โคนก้านส่วนใหญ่มีสีน้ำตาลแกมเทาถึงน้ำตาลแกมเหลือง และมีกลิ่นเฉพาะตัว นิยมนำมาประกอบอาหาร พบในธรรมชาติ ใช้ประกอบอาหาร ปลอดภัย
เห็ดตับเต่า,2,(Phlebopus portentosus) เป็นเห็ดที่มีลักษณะดอกใหญ่ หมวกเห็ดมนทรงกระทะคว่ำ ผิวมัน เนื้อแข็ง สีน้ำตาลเข้ม ด้านล่างหมวกมีรูพรุนสีเหลือง ก้านอวบใหญ่ มีลักษณะโป่งเป็นกระเปาะที่โคน เมื่อผ่าเนื้อในจะเปลี่ยนเป็นสีน้ำเงินอมเขียวเมื่อสัมผัสอากาศ เห็ดชนิดนี้เป็นเห็ดกินได้ อาศัยอยู่ร่วมกับรากต้นไม้ (ไมคอร์ไรซา) ในป่าธรรมชาติช่วงฤดูฝน และมีสรรพคุณบำรุงกำลังและดับพิษร้อนในร่างกาย พบในธรรมชาติ ใช้ประกอบอาหาร ปลอดภัย
เห็ดฟาง,3,(Volvariella volvacea) เป็นเห็ดที่มีลักษณะเด่นคือมีเปลือกหุ้มที่ฐานดอกเห็ด (volva) ในระยะอ่อนจะมีรูปร่างเป็นก้อนกลมสีขาวเหมือนไข่ เมื่อโตขึ้นจะกางออกเป็นหมวกคล้ายร่ม มีสีขาวถึงสีเทาอ่อน เนื้อเห็ดนุ่ม ฉ่ำน้ำ ครีบใต้หมวกมีสีขาวเปลี่ยนเป็นสีชมพูอ่อนเมื่อแก่ ก้านสั้น ผิวดอกปกคลุมด้วยเส้นใย และพบการเจริญเติบโตบนกองฟางข้าวในสภาพอากาศร้อนชื้น พบในธรรมชาติ ใช้ประกอบอาหาร ปลอดภัย
เห็ดหูหนู,4,(Auricularia spp.) เป็นเห็ดที่มีลักษณะเป็นแผ่นวุ้นนิ่ม สีน้ำตาลอ่อนถึงดำ คล้ายใบหูคนหรือหนู ผิวด้านนอกเรียบ มีขอบเป็นลอนเล็กน้อย และด้านใต้มีขนอ่อนปกคลุม เนื้อเห็ดเหนียว มีความยืดหยุ่น และเมื่อแห้งจะหดตัว เห็ดชนิดนี้ขึ้นตามซากไม้ที่ผุพังและสามารถนำมาปรุงอาหารได้ พบในธรรมชาติ ใช้ประกอบอาหาร ปลอดภัย
เห็ดนางฟ้า / เห็ดนางรม,5,(Pleurotus spp.) เป็นเห็ดที่มีลักษณะภายนอกที่แตกต่างกันเล็กน้อย เห็ดนางรม (<Pleurotus ostreatus) มีหมวกทรงพัด มีสีขาวถึงน้ำตาลอ่อน เนื้อแน่น และมีเหงือกที่ไหลลงมาตามลำต้น เห็ดนางฟ้า (เช่น Pleurotus sajor-caju หรือ Pleurotus pulmonarius) มีลักษณะคล้ายเห็ดนางรม แต่อาจมีขนาดเล็กกว่า หรือมีสีที่แตกต่างกัน พบในธรรมชาติ ใช้ประกอบอาหาร ปลอดภัย
เห็ดขมิ้นใหญ่ / เห็ดขมิ้น,6,(Cantharellus cibarius) เป็นเห็ดที่มีลักษณะเด่นคือ หมวกเห็ดสีเหลืองถึงส้มอมเหลือง รูปทรงกรวยหรือปากแตร ตรงกลางเว้าลึกลงไปถึงโคนก้าน มี ครีบแคบๆ สันเป็นรูปส้อม แทนเกล็ดใต้หมวก และมี กลิ่นหอมคล้ายแอปริคอต พบขึ้นตามพื้นดินในป่า พบในธรรมชาติ ใช้ประกอบอาหาร ปลอดภัย
เห็ดขิง,7,(Lactarius piperatus) เป็นเห็ดสีขาวหรือขาวครีม มีหมวกบุ๋มตรงกลาง ขนาด 3-12 ซม. ผิวแห้งหรือเหนียวเล็กน้อย ครีบสีขาวถี่ มีน้ำยางสีขาวไหลเมื่อถูกตัด ซึ่งมีรสชาติเผ็ดร้อน แห้งเป็นสีเขียวอมเทา พบตามป่าในฤดูฝน และสามารถรับประทานได้หลังผ่านความร้อน พบในธรรมชาติ ใช้ประกอบอาหาร ปลอดภัย
เห็ดไข่เหลือง / เห็ดไข่ขาว,8,(Amanita hemibapha / Amanita princeps) เป็ดเห็ดมีลักษณะคล้ายคลึงกันในระยะอ่อน โดยเป็นก้อนไข่สีขาว แต่จะแตกต่างกันเมื่อดอกเห็ดเริ่มบาน โดยเห็ดไข่ขาวมีเปลือกชั้นในสีขาว แต่เห็ดไข่เหลืองจะมีเปลือกชั้นในสีเหลือง. วิธีที่ปลอดภัยที่สุดในการแยกเห็ดไข่เหลืองออกจากเห็ดพิษคือการผ่าดอกเห็ดที่ยังอ่อนอยู่และพิจารณาสีของเปลือกชั้นใน พบในธรรมชาติ ใช้ประกอบอาหาร ปลอดภัย
เห็ดน้ำผึ้ง,9,(Boletus firmus) เป็นเห็ดที่เป็นเชื้อราเบสิดิโอไมซีตและเป็นชนิดพันธุ์หนึ่งของสกุลโบเลตัส เห็ดชนิดนี้ได้รับความนิยมในฐานะเห็ดที่รับประทานได้ พบในธรรมชาติ ใช้ประกอบอาหาร ปลอดภัย
Amanita exitialis group,10,(Amanita exitialis / A. fuliginea / A. fuligineoides / A. gleocystidiosa) เป็ดเห็ดที่มีลักษณะเด่นคือ หมวกเห็ดสีขาวล้วนทั้งดอกอ่อนและดอกแก่ อาจมีปุยเล็กน้อยและผิวไม่เรียบมัน ก้านเห็ดอาจกลวงหรือตัน สังเกตความแตกต่างจากเห็ดระโงกขาวที่ไม่มีปุยและก้านจะตันเสมอ เห็ดกลุ่มนี้เป็นเห็ดพิษร้ายแรง หากกินเข้าไปจะทำให้เกิดอาการคลื่นไส้ อาเจียน ปวดท้อง ท้องเสีย ความดันต่ำ บวมน้ำ อ่อนเพลีย ตับและไตวาย และอาจเสียชีวิตได้ มีพิษ ไม่ควรรับประทาน อาจเป็นอันตรายถึงชีวิต
เห็ดระโงกหิน,11,(Chlorophyllum molybdites) เป็นเห็ดที่มีลักษณะคล้ายกับเห็ดกินได้ คือ มีหมวกสีขาว มีเกล็ดสีน้ำตาลหยาบ ก้านมีวงแหวน ผิวใบมีสีขาว แต่มีข้อแตกต่างที่สำคัญคือ เห็ดระโงกหินจะมีสีเข้มหรือเขียวเมื่อโตเต็มที่ และ ผิวหมวกจะไม่มีริ้วคล้ายซี่หวี ตรงขอบหมวก ผิวแกนก้านจะ ตัน เมื่อผ่าดู และมี สปอร์สีเขียว มีพิษ ไม่ควรรับประทาน อาจเป็นอันตรายถึงชีวิต
เห็ดขี้ควายขาว,12,(Cantharocybe virosa) เป็นเห็ดที่มีฤทธิ์กับระบบประสาท มีขึ้นอยู่ตามกองมูลควายแห้ง สีของเห็ดจะมีสีเหลืองซีดคล้ายสีฟางแห้ง บนหัวของร่มจะมีสีน้ำตาลเข็มจนถึงสีดำ บริเวณก้าน ที่ใกล้จะถึงตัวร่ม จะมีแผ่นเนื้อเยื่อบางๆ สีขาวแผ่ขยายออกรอบก้าน แผ่นนี้มีลักษณะคล้ายวงแหวน เห็ดขี้ควายมีขึ้นอยู่ทั่วไปแทบทุกภาคของประเทศไทย ลักษณะของเห็ดตัวสมบูรณ์และโตเต็มที่ ตรงบริเวณหมวกจะมีเส้นผ่าศูนย์กลางประมาณ 6.5 - 8.8 เซนติเมตร ความสูงของลำต้นประมาณ 5.5 - 8.0 เซนติเมตร เส้นผ่าศูนย์กลางประมาณ 0.8 - 1.0 เซนติเมตร มีพิษ ไม่ควรรับประทาน อาจเป็นอันตรายถึงชีวิต 
เห็ดสกุลEntoloma,13,ซึ่งเป็นชื่อเรียกกลุ่มของเห็ดราในวงศ์ Entolomataceae โดยมีลักษณะเด่นคือ สปอร์สีชมพู และเห็ดในสกุลนี้มีทั้งชนิดที่เป็นพิษและกินได้ ซึ่งหลายชนิดก่อให้เกิดพิษต่อระบบทางเดินอาหาร เช่น Entoloma rhodopolium และ Entoloma sinuatum ในประเทศไทยก็มีการพบเห็ดพิษในสกุลนี้ที่ทำให้เกิดอาการพิษ
เห็ดหมวกเล็กสีชมพู,14,พิษเห็ดหมวกเล็กมีพิษ (Inocybe spp.) เป็นเห็ดที่มีลักษณะเด่นคือ หมวกสีขาวหรือสีครีม 1-4 ซม. ผิวอาจมีลักษณะคล้ายไหมหรือแตกเป็นแฉก มีปุ่มนูนตรงกลาง ก้านสูง 1-6 ซม. บาง ไม่แข็ง และไม่มีวงแหวน มีเหงือกสีครีมเปลี่ยนเป็นสีน้ำตาลเข้มเมื่อแก่ และมีลายสปอร์สีน้ำตาลรูปร่างเหมือนอัลมอนด์ สปอร์มีลักษณะเรียบ เห็ดกลุ่มนี้มักมีสารพิษมัสคารีน (muscarine) ที่มีผลต่อระบบประสาท และอาจทำให้เกิดอาการทางระบบทางเดินอาหาร มึนเมา หรืออาการรุนแรงกว่านั้นเมื่อดื่มแอลกอฮอล์ร่วมด้วย มีพิษ ไม่ควรรับประทาน อาจเป็นอันตรายถึงชีวิต
เห็ดแดงอาเจียน,15,(Russula emetica) "เป็นเห็ดที่มีลักษณะเด่นคือหมวกเห็ดสีแดงสดถึงแดงอมชมพู ผิวกำพร้าลอกออกได้ ครีบสีขาวถึงขาวอมครีมเรียงชิดกัน ก้านดอกสีขาวเรียบกลวง. เห็ดชนิดนี้มีรสเผ็ดและมีพิษต่อระบบทางเดินอาหาร ทำให้เกิดอาการคลื่นไส้ อาเจียน ท้องเสีย หากรับประทานดิบ" มีพิษ ไม่ควรรับประทาน อาจเป็นอันตรายถึงชีวิต
เห็ดลายคลื่น,16,(Clitocybe spp.) เป็นเห็ดที่เป็นเชื้อราชนิดหนึ่งในวงศ์ Tricholomataceae [ 1 ]ได้รับการระบุอย่างเป็นทางการในปี พ.ศ. 2528 โดยอ้างอิงจากการรวบรวมจากซาร์ดิเนียประเทศอิตาลีเชื้อราชนิดนี้ผลิตดอกเห็ดขนาดเล็กที่มีฝาสีขาวนมถึงครีมซึ่งจะเปลี่ยนเป็นรูปทรงกรวยเมื่อมีอายุมากขึ้น และมี กลิ่น โป๊ยกั๊ก เฉพาะตัว เมื่อยังสด เชื้อราชนิดนี้เจริญเติบโตเฉพาะในถิ่นอาศัยของพุ่มไม้มาควิสบน ดินทรายที่เป็นกรดใต้พุ่มไม้ร็อคโรส ( ชนิด Cistus ) โดยเฉพาะอย่างยิ่งเมื่อพบร่วมกับต้นโอ๊กโฮล์มต้นสนมาริไทม์ต้นไมร์เทิล และ ต้น เบย์ลอเรลเดิมทีรู้จักเฉพาะทางตอนใต้ของซาร์ดิเนีย แต่ต่อมาพบสายพันธุ์นี้ในทัสกานีและคาลาเบรีย ซึ่งบ่งชี้ว่า มีการกระจายพันธุ์ในแถบ เมดิเตอร์เรเนียนตะวันตกที่กว้างขวาง มีพิษ ไม่ควรรับประทาน อาจเป็นอันตรายถึงชีวิต
เห็ดหมึกดำ,17,(Coprinopsis lagopus) เป็นเห็ดที่มีลักษณะเด่นคือหมวกเห็ดมีรูปร่างคล้ายระฆังหรือรูปไข่ และเมื่อเห็ดแก่ หมวกจะเริ่มม้วนขึ้นและเปลี่ยนเป็นสีดำ ก่อนจะละลายกลายเป็นเมือกสีดำ (ภาวะเดลิเคสเซนซ์) อย่างรวดเร็ว ก้านดอกมีสีขาว กลวง มีลักษณะเป็นเส้นใย และสปอร์พิมพ์เป็นสีดำ มีพิษ ไม่ควรรับประทาน อาจเป็นอันตรายถึงชีวิต
เห็ดขี้ควาย,18,(Panaeolus cyanescens) เป็นเห็ดที่มีลักษณะหมวกดอกมีสีเหลืองปนน้ำตาลอ่อนและตลอดทั้งดอกมีสีน้ำตาลอ่อนนวลกลางหมวกจะมีสีเข้มกว่าบริเวณอื่นๆ ส่วนใต้หมวกจะมีลักษณะครีบสีน้ำตาลเข้ม บริเวณก้านจะมีวงแหวนแว่นๆ มีพิษ ไม่ควรรับประทาน อาจเป็นอันตรายถึงชีวิต
เห็ดพิษขาวใหญ่,19,(Megacollybia fallax) เป็นเห็ดที่มี หมวก สีเทาอมน้ำตาล มีเส้นใยสีเทาอมน้ำตาล ปกคลุมอยู่ มีขอบหมวกที่หยักเป็นคลื่นและแห้งได้เมื่ออากาศแห้ง ครีบ ใต้หมวกมีสีขาวถึงขาวอมเหลืองเมื่อโตขึ้น และอาจมีการกร่อนเมื่อแก่ ก้าน จะมีสีขาว มีเส้นใยสีน้ำตาลอ่อนพาดอยู่ด้านล่าง และมีเส้นใยสีขาว (rhizomorphs) ที่โคน เนื้อเห็ดมีสีขาวไม่เปลี่ยนสี มีกลิ่นและรสอ่อน เห็ดนี้มักพบอยู่บนไม้ที่กำลังเน่าสลายของทั้งไม้เนื้ออ่อนและไม้เนื้อแข็ง มีพิษ ไม่ควรรับประทาน อาจเป็นอันตรายถึงชีวิต